["head":"wrap","lpos","status"]
[8, 54032, 0]
["io count"]
[10000]
["io":"id","wrap","startLpos","endLpos"]
[222, 32, 129255, 129764]
[223, 2, 451568, 452381]
[224, 34, 400375, 401025]
[225, 48, 98035, 98580]
[226, 41, 27792, 26806]
[227, 48, 59635, 60828]
[228, 23, 110985, 110283]
[229, 11, 42791, 41782]
[230, 27, 188767, 187306]
[231, 46, 102016, 102479]
[232, 16, 236161, 237452]
[233, 46, 442561, 443993]
[234, 10, 248412, 249509]
[235, 42, 390534, 390695]
[236, 40, 456756, 457693]
[237, 12, 39165, 39325]
[238, 46, 228815, 229307]
[239, 30, 666432, 666745]
[240, 4, 60925, 61181]
[241, 35, 653541, 652274]
[242, 35, 69900, 69074]
[243, 32, 417117, 417192]
[244, 40, 592757, 593356]
[245, 49, 461127, 460315]
[246, 44, 710362, 710621]
[247, 20, 260463, 260802]
[248, 39, 702620, 701689]
[249, 10, 214009, 215386]
[250, 10, 146867, 147111]
[251, 12, 492405, 492446]
[252, 55, 691918, 691179]
[253, 52, 239624, 240287]
[254, 34, 629397, 630058]
[255, 23, 533389, 533242]
[256, 19, 14917, 14848]
[257, 51, 654729, 653944]
[258, 33, 34833, 34646]
[259, 36, 65078, 65127]
[260, 22, 205070, 205308]
[261, 40, 57899, 58329]
[262, 51, 124509, 124034]
[263, 19, 356295, 355446]
[264, 17, 325638, 325055]
[265, 2, 398946, 400039]
[266, 15, 144726, 143342]
[267, 20, 727473, 728526]
[268, 11, 274308, 273884]
[269, 34, 18574, 19879]
[270, 23, 66054, 65355]
[271, 12, 35928, 36766]
[272, 44, 722790, 723692]
[273, 51, 392944, 391764]
[274, 49, 652819, 652330]
[275, 4, 570845, 571999]
[276, 49, 613517, 612835]
[277, 1, 258271, 258069]
[278, 28, 213351, 213658]
[279, 30, 368284, 369385]
[280, 40, 343593, 344454]
[281, 14, 92697, 93461]
[282, 2, 310818, 311929]
[283, 31, 289020, 287715]
[284, 48, 125289, 125925]
[285, 12, 555213, 555581]
[286, 32, 397864, 398506]
[287, 13, 231500, 231300]
[288, 55, 621366, 620711]
[289, 24, 373989, 375071]
[290, 5, 242431, 241495]
[291, 29, 357101, 355996]
[292, 17, 28353, 26940]
[293, 11, 447980, 446719]
[294, 55, 561564, 560612]
[295, 33, 705804, 704693]
[296, 28, 299172, 299483]
[297, 39, 140716, 140657]
[298, 41, 311517, 311134]
[299, 34, 234406, 235418]
[300, 22, 440704, 440780]
[301, 23, 209766, 208641]
[302, 28, 457828, 457939]
[303, 43, 136264, 135317]
[304, 13, 552312, 551032]
[305, 46, 197262, 197883]
[306, 50, 686473, 687903]
[307, 27, 67583, 67375]
[308, 54, 545884, 546529]
[309, 50, 384601, 384749]
[310, 4, 273454, 274097]
[311, 38, 261509, 262041]
[312, 42, 313346, 314476]
[313, 36, 139786, 140697]
[314, 14, 379732, 380699]
[315, 49, 650339, 650011]
[316, 13, 462811, 462296]
[317, 51, 626232, 624737]
[318, 28, 642773, 642937]
[319, 14, 522913, 523134]
[320, 3, 407250, 405848]
[321, 8, 209770, 210630]
[322, 18, 606454, 606874]
[323, 31, 647937, 646592]
[324, 47, 696602, 696048]
[325, 17, 43420, 43117]
[326, 27, 394705, 394651]
[327, 49, 588813, 588562]
[328, 34, 630009, 630309]
[329, 32, 274291, 274552]
[330, 45, 130514, 129621]
[331, 51, 302352, 302006]
[332, 49, 274692, 274319]
[333, 24, 637644, 637685]
[334, 37, 636971, 636791]
[335, 7, 682650, 681451]
[336, 7, 285436, 285119]
[337, 34, 123214, 124630]
[338, 14, 228955, 229738]
[339, 8, 497602, 498010]
[340, 6, 641301, 641517]
[341, 38, 13463, 13657]
[342, 44, 339424, 340397]
[343, 52, 250283, 251662]
[344, 18, 725850, 726381]
[345, 2, 448727, 449074]
[346, 36, 636804, 637218]
[347, 4, 639125, 640347]
[348, 20, 126751, 127996]
[349, 34, 104034, 104400]
[350, 54, 434932, 436377]
[351, 8, 476667, 478164]
[352, 8, 34907, 36362]
[353, 22, 449601, 450958]
[354, 16, 457113, 457581]
[355, 17, 475773, 474532]
[356, 42, 42971, 43476]
[357, 13, 215481, 214871]
[358, 7, 223872, 222554]
[359, 33, 187512, 187466]
[360, 33, 100619, 99220]
[361, 30, 392192, 392662]
[362, 19, 704044, 702846]
[363, 21, 3052, 2576]
[364, 35, 101580, 101163]
[365, 19, 623708, 622408]
[366, 53, 592479, 591471]
[367, 48, 499664, 501021]
[368, 35, 547524, 546481]
[369, 1, 585753, 585488]
[370, 10, 139253, 140393]
[371, 15, 712028, 711954]
[372, 4, 627369, 628229]
[373, 9, 244939, 243639]
[374, 40, 666564, 668039]
[375, 47, 244181, 243075]
[376, 43, 677647, 677265]
[377, 51, 535969, 535543]
[378, 24, 179985, 180892]
[379, 30, 60155, 61064]
[380, 20, 622077, 622468]
[381, 44, 139610, 139718]
[382, 39, 108652, 108204]
[383, 29, 562965, 562461]
[384, 28, 666036, 667000]
[385, 54, 524158, 524685]
[386, 51, 315157, 314280]
[387, 0, 470803, 471305]
[388, 44, 463072, 463436]
[389, 49, 204591, 203491]
[390, 21, 5867, 5544]
[391, 43, 276083, 274919]
[392, 55, 539547, 539258]
[393, 50, 630768, 632129]
[394, 12, 291313, 292469]
[395, 49, 449464, 448494]
[396, 44, 506342, 506633]
[397, 0, 341467, 342497]
[398, 7, 457254, 455815]
[399, 55, 558245, 557832]
[400, 45, 305020, 303919]
[401, 16, 516586, 517137]
[402, 39, 704395, 703661]
[403, 52, 27794, 28062]
[404, 46, 232403, 232467]
[405, 45, 86480, 86410]
[406, 16, 626656, 626751]
[407, 19, 374702, 373975]
[408, 36, 203832, 204665]
[409, 51, 682805, 682693]
[410, 8, 184106, 184975]
[411, 29, 425370, 425297]
[412, 51, 225346, 223960]
[413, 14, 514476, 515708]
[414, 55, 216989, 216495]
[415, 39, 208787, 208590]
[416, 46, 509122, 509195]
[417, 51, 204481, 204018]
[418, 53, 435190, 434614]
[419, 30, 407234, 407460]
[420, 31, 318744, 317560]
[421, 20, 465076, 466212]
[422, 19, 126795, 125367]
[423, 28, 279547, 280298]
[424, 20, 470011, 470488]
[425, 16, 61325, 62645]
[426, 8, 298575, 299818]
[427, 34, 541947, 542378]
[428, 37, 608753, 608060]
[429, 34, 471859, 472410]
[430, 47, 468828, 468259]
[431, 41, 69044, 68569]
[432, 37, 374081, 373179]
[433, 37, 464876, 463875]
[434, 48, 606033, 606479]
[435, 2, 23215, 24025]
[436, 12, 281184, 282066]
[437, 30, 42268, 43450]
[438, 32, 519489, 520512]
[439, 24, 169279, 170500]
[440, 9, 661656, 661091]
[441, 42, 366695, 367152]
[442, 40, 180992, 182169]
[443, 25, 430254, 429451]
[444, 12, 548368, 549662]
[445, 16, 525839, 526431]
[446, 21, 153172, 152744]
[447, 32, 194190, 195400]
[448, 39, 536408, 535658]
[449, 7, 208629, 207889]
[450, 50, 604743, 605707]
[451, 39, 210628, 209684]
[452, 0, 701709, 702741]
[453, 42, 658004, 658525]
[454, 19, 185398, 184971]
[455, 27, 62781, 62240]
[456, 23, 285223, 284894]
[457, 23, 219831, 219454]
[458, 39, 508710, 507528]
[459, 10, 476522, 478002]
[460, 18, 495876, 497209]
[461, 46, 482172, 483155]
[462, 24, 357338, 358365]
[463, 42, 176699, 177926]
[464, 11, 682193, 680802]
[465, 26, 84505, 84622]
[466, 3, 426650, 425385]
[467, 26, 131383, 132341]
[468, 3, 728390, 726931]
[469, 45, 556320, 556107]
[470, 46, 92212, 93120]
[471, 35, 638741, 637724]
[472, 51, 14675, 13835]
[473, 5, 513841, 512515]
[474, 32, 343663, 344085]
[475, 11, 430113, 429096]
[476, 23, 467493, 467140]
[477, 28, 135276, 136582]
[478, 37, 506302, 505436]
[479, 51, 345150, 344185]
[480, 5, 23630, 22954]
[481, 31, 200959, 200689]
[482, 52, 311697, 312588]
[483, 6, 211161, 211618]
[484, 5, 271183, 270974]
[485, 15, 217252, 216952]
[486, 23, 353280, 352574]
[487, 36, 622201, 623207]
[488, 44, 502367, 503411]
[489, 6, 222865, 223731]
[490, 44, 648276, 648570]
[491, 14, 160260, 160389]
[492, 47, 86581, 85935]
[493, 53, 309909, 309670]
[494, 26, 382924, 383538]
[495, 37, 107118, 106570]
[496, 5, 382939, 381766]
[497, 50, 275600, 276719]
[498, 36, 28758, 28893]
[499, 37, 622170, 621838]
[500, 8, 729443, 730643]
[501, 25, 179906, 179010]
[502, 42, 498997, 499773]
[503, 26, 329464, 329584]
[504, 13, 597600, 596237]
[505, 25, 553426, 552403]
[506, 50, 713777, 714465]
[507, 5, 425994, 425808]
[508, 18, 271181, 271981]
[509, 46, 160700, 161371]
[510, 27, 574953, 574108]
[511, 14, 340304, 341692]
[512, 9, 314791, 314524]
[513, 33, 427875, 427037]
[514, 9, 13199, 12314]
[515, 30, 52149, 52596]
[516, 2, 369957, 371012]
[517, 43, 219642, 219173]
[518, 34, 20825, 21455]
[519, 25, 370362, 369722]
[520, 18, 352415, 353891]
[521, 2, 446123, 446681]
[522, 24, 631910, 633385]
[523, 24, 253031, 253501]
[524, 26, 408814, 409122]
[525, 37, 170511, 169158]
[526, 40, 520877, 522038]
[527, 16, 730656, 730687]
[528, 4, 223611, 224565]
[529, 31, 100146, 99570]
[530, 46, 339630, 340650]
[531, 6, 191719, 192556]
[532, 23, 485467, 484436]
[533, 25, 609033, 607672]
[534, 3, 559262, 559049]
[535, 46, 588565, 588949]
[536, 22, 8824, 10150]
[537, 37, 410350, 410284]
[538, 16, 180732, 181969]
[539, 3, 359294, 359137]
[540, 36, 312892, 312960]
[541, 50, 484705, 484783]
[542, 39, 274434, 273268]
[543, 35, 326469, 325947]
[544, 11, 725645, 725567]
[545, 18, 141253, 142738]
[546, 18, 693567, 693701]
[547, 7, 367125, 366517]
[548, 46, 34156, 35492]
[549, 40, 19976, 20240]
[550, 41, 574526, 574043]
[551, 6, 269587, 269865]
[552, 18, 440620, 441745]
[553, 45, 95655, 95120]
[554, 18, 529551, 530510]
[555, 47, 423003, 421876]
[556, 8, 367741, 368768]
[557, 29, 125321, 124186]
[558, 15, 409568, 409496]
[559, 31, 39924, 38467]
[560, 27, 382627, 382397]
[561, 40, 661189, 661598]
[562, 37, 5199, 4629]
[563, 14, 402959, 403605]
[564, 12, 302221, 302754]
[565, 51, 362178, 361785]
[566, 16, 271428, 271643]
[567, 52, 240768, 241584]
[568, 23, 356914, 355887]
[569, 55, 2708, 2252]
[570, 37, 127622, 127416]
[571, 32, 548101, 548346]
[572, 54, 453469, 454143]
[573, 12, 640549, 641959]
[574, 17, 639343, 638712]
[575, 28, 515537, 516604]
[576, 9, 502467, 502201]
[577, 43, 293811, 293734]
[578, 43, 140577, 139925]
[579, 39, 133955, 133581]
[580, 53, 168099, 167100]
[581, 2, 467001, 467349]
[582, 48, 260459, 261239]
[583, 50, 640348, 640622]
[584, 0, 154636, 154867]
[585, 35, 131648, 130372]
[586, 9, 265277, 264249]
[587, 33, 423234, 422929]
[588, 2, 199579, 200996]
[589, 19, 101568, 100968]
[590, 18, 696714, 697639]
[591, 9, 134281, 132865]
[592, 20, 400396, 401599]
[593, 43, 621142, 620313]
[594, 36, 634106, 635124]
[595, 30, 120553, 120644]
[596, 50, 527834, 528094]
[597, 45, 356236, 355874]
[598, 7, 33391, 32802]
[599, 48, 726287, 726332]
[600, 43, 325373, 323949]
[601, 9, 146724, 145953]
[602, 13, 661608, 661548]
[603, 21, 267250, 266542]
[604, 15, 150856, 150000]
[605, 7, 131759, 131483]
[606, 34, 324773, 326187]
[607, 0, 539417, 540421]
[608, 29, 16515, 15216]
[609, 1, 591041, 590317]
[610, 38, 418807, 419434]
[611, 15, 585464, 585133]
[612, 28, 508360, 509559]
[613, 20, 562723, 563594]
[614, 53, 34830, 34699]
[615, 16, 6724, 7201]
[616, 28, 429596, 430119]
[617, 17, 101843, 101268]
[618, 4, 521443, 521597]
[619, 52, 398962, 399240]
[620, 10, 400575, 401743]
[621, 36, 156323, 156711]
[622, 33, 356239, 354761]
[623, 32, 551307, 552195]
[624, 38, 218698, 218748]
[625, 11, 493571, 493341]
[626, 18, 253009, 253876]
[627, 31, 39878, 39818]
[628, 9, 211898, 211489]
[629, 37, 195976, 195782]
[630, 43, 363455, 363418]
[631, 47, 274392, 273837]
[632, 46, 110296, 110935]
[633, 25, 457422, 456616]
[634, 25, 319299, 317888]
[635, 20, 409714, 410037]
[636, 23, 50394, 49551]
[637, 48, 509118, 510197]
[638, 27, 502837, 501807]
[639, 5, 536029, 535055]
[640, 25, 181107, 179838]
[641, 24, 511736, 513032]
[642, 48, 62064, 62460]
[643, 37, 453767, 453298]
[644, 3, 444460, 443604]
[645, 15, 350030, 348616]
[646, 16, 12252, 13628]
[647, 25, 643817, 643230]
[648, 0, 59561, 59837]
[649, 36, 670489, 671431]
[650, 9, 59487, 59436]
[651, 41, 589667, 588638]
[652, 2, 126067, 126737]
[653, 37, 670506, 669088]
[654, 9, 558486, 558238]
[655, 33, 87536, 87322]
[656, 2, 74243, 74498]
[657, 36, 495528, 495954]
[658, 33, 463076, 461991]
[659, 4, 460310, 461648]
[660, 53, 483299, 482068]
[661, 37, 447689, 446642]
[662, 35, 417203, 415731]
[663, 51, 296390, 295615]
[664, 17, 710219, 709499]
[665, 9, 223921, 222512]
[666, 2, 165471, 165502]
[667, 52, 9536, 10677]
[668, 34, 340048, 340823]
[669, 40, 227337, 228834]
[670, 40, 524308, 524830]
[671, 6, 442880, 444244]
[672, 42, 507832, 508689]
[673, 5, 152644, 152013]
[674, 5, 263024, 262073]
[675, 35, 671498, 671161]
[676, 12, 438712, 438935]
[677, 41, 182016, 181912]
[678, 55, 504157, 503253]
[679, 12, 643621, 644131]
[680, 44, 178794, 180189]
[681, 50, 44122, 44651]
[682, 36, 598925, 599674]
[683, 0, 604089, 605079]
[684, 12, 184938, 185397]
[685, 43, 63789, 63640]
[686, 48, 449841, 451170]
[687, 50, 147929, 148906]
[688, 25, 713703, 713160]
[689, 17, 518875, 518205]
[690, 51, 126552, 126413]
[691, 8, 413185, 414113]
[692, 41, 471768, 471499]
[693, 6, 214151, 214988]
[694, 26, 720784, 721380]
[695, 36, 433657, 434930]
[696, 29, 156813, 155873]
[697, 34, 664602, 665531]
[698, 21, 477004, 476267]
[699, 45, 35461, 35348]
[700, 10, 154283, 155315]
[701, 44, 242502, 243632]
[702, 8, 13754, 15182]
[703, 8, 332754, 333957]
[704, 7, 116795, 115408]
[705, 45, 561588, 560622]
[706, 42, 416886, 418133]
[707, 44, 443092, 443492]
[708, 47, 691347, 690299]
[709, 9, 460545, 459077]
[710, 2, 380523, 380618]
[711, 36, 119613, 119740]
[712, 0, 457924, 459146]
[713, 7, 355429, 354606]
[714, 46, 602095, 602365]
[715, 27, 360868, 360491]
[716, 51, 174731, 173747]
[717, 5, 362810, 361998]
[718, 25, 99951, 98689]
[719, 27, 318564, 317744]
[720, 10, 604802, 605557]
[721, 43, 531965, 531208]
[722, 16, 58385, 59220]
[723, 35, 414652, 414129]
[724, 32, 60059, 61021]
[725, 24, 543968, 544559]
[726, 41, 444470, 442983]
[727, 16, 238275, 238607]
[728, 33, 576609, 575431]
[729, 40, 282767, 283246]
[730, 21, 465953, 465496]
[731, 50, 683554, 684121]
[732, 15, 466083, 465139]
[733, 14, 174822, 175634]
[734, 40, 380289, 381474]
[735, 16, 28483, 28584]
[736, 5, 406713, 405859]
[737, 11, 356578, 356333]
[738, 37, 543767, 542714]
[739, 54, 365402, 365804]
[740, 41, 654549, 654075]
[741, 41, 636067, 634758]
[742, 15, 327091, 325846]
[743, 32, 438680, 439372]
[744, 20, 292273, 292799]
[745, 48, 317576, 318281]
[746, 40, 624392, 624919]
[747, 35, 154764, 154335]
[748, 15, 634095, 633465]
[749, 53, 79588, 78150]
[750, 19, 314662, 313903]
[751, 6, 316216, 316509]
[752, 49, 597455, 597163]
[753, 47, 73778, 73711]
[754, 22, 537902, 538085]
[755, 51, 352629, 352542]
[756, 28, 157902, 158299]
[757, 16, 8819, 9640]
[758, 33, 98151, 96964]
[759, 8, 166384, 167386]
[760, 53, 589333, 588316]
[761, 23, 503965, 502826]
[762, 34, 472903, 473342]
[763, 5, 453137, 452834]
[764, 2, 662700, 662959]
[765, 27, 459217, 458448]
[766, 9, 456052, 454727]
[767, 41, 378179, 377765]
[768, 55, 242373, 242258]
[769, 27, 19706, 19327]
[770, 3, 151690, 150799]
[771, 52, 389248, 389389]
[772, 14, 728993, 729301]
[773, 23, 594731, 593597]
[774, 17, 250293, 249963]
[775, 24, 320999, 321422]
[776, 38, 594643, 595038]
[777, 17, 203413, 202823]
[778, 31, 541237, 541139]
[779, 12, 592824, 594321]
[780, 47, 685242, 683967]
[781, 22, 339548, 340704]
[782, 27, 454257, 454221]
[783, 9, 335401, 334528]
[784, 51, 355719, 354464]
[785, 28, 381208, 381612]
[786, 31, 266961, 266261]
[787, 32, 199016, 200007]
[788, 50, 26749, 26965]
[789, 3, 25653, 24995]
[790, 9, 16901, 15757]
[791, 4, 251769, 252488]
[792, 53, 34385, 33709]
[793, 52, 690729, 690857]
[794, 27, 724725, 723354]
[795, 23, 96848, 96043]
[796, 33, 68327, 67687]
[797, 20, 374097, 374160]
[798, 0, 189531, 190262]
[799, 13, 632831, 632465]
[800, 23, 12702, 12433]
[801, 4, 473000, 473565]
[802, 38, 233911, 234084]
[803, 35, 686254, 685191]
[804, 36, 485680, 487018]
[805, 18, 431876, 433249]
[806, 28, 229008, 230416]
[807, 27, 46390, 45545]
[808, 47, 379398, 378368]
[809, 13, 585587, 584286]
[810, 16, 628404, 629301]
[811, 42, 52003, 52952]
[812, 0, 469436, 470042]
[813, 2, 493491, 494743]
[814, 5, 162878, 161576]
[815, 7, 510815, 510060]
[816, 13, 366290, 365224]
[817, 41, 118949, 117680]
[818, 29, 347092, 346565]
[819, 37, 634453, 632972]
[820, 16, 285352, 286438]
[821, 19, 197060, 196103]
[822, 46, 120815, 121777]
[823, 38, 294713, 295942]
[824, 10, 223643, 224502]
[825, 36, 403324, 404732]
[826, 38, 446311, 447102]
[827, 52, 556579, 556818]
[828, 15, 212810, 212601]
[829, 9, 685173, 684333]
[830, 53, 568450, 567803]
[831, 21, 650993, 650433]
[832, 46, 459212, 459349]
[833, 7, 717035, 715555]
[834, 48, 410900, 411361]
[835, 49, 358003, 356771]
[836, 22, 698009, 698244]
[837, 28, 386513, 387416]
[838, 24, 690281, 691693]
[839, 15, 46986, 45537]
[840, 53, 518593, 517201]
[841, 2, 625611, 627049]
[842, 42, 31651, 32014]
[843, 46, 50820, 51159]
[844, 55, 196084, 195397]
[845, 10, 40084, 41548]
[846, 52, 370250, 371154]
[847, 41, 632391, 631947]
[848, 51, 364907, 363922]
[849, 5, 596430, 595791]
[850, 36, 634405, 634806]
[851, 28, 704898, 705374]
[852, 28, 673433, 673691]
[853, 41, 491341, 491237]
[854, 44, 454237, 455696]
[855, 30, 465646, 465807]
[856, 25, 445044, 444983]
[857, 25, 173577, 172333]
[858, 27, 183213, 182932]
[859, 1, 724426, 724087]
[860, 52, 717828, 718496]
[861, 55, 681787, 681444]
[862, 23, 160638, 160048]
[863, 28, 645880, 646443]
[864, 19, 26199, 26080]
[865, 35, 291936, 290979]
[866, 54, 98753, 99059]
[867, 27, 200606, 199728]
[868, 15, 421172, 420400]
[869, 14, 193767, 194245]
[870, 34, 415165, 416050]
[871, 23, 257229, 255916]
[872, 7, 425952, 425494]
[873, 29, 150042, 149694]
[874, 33, 359331, 357924]
[875, 30, 74416, 75150]
[876, 11, 709595, 709253]
[877, 29, 679333, 677928]
[878, 35, 152908, 151571]
[879, 5, 636938, 635466]
[880, 44, 114878, 115788]
[881, 43, 364009, 363377]
[882, 23, 209731, 209229]
[883, 14, 251470, 252906]
[884, 42, 303717, 304544]
[885, 20, 201775, 202020]
[886, 32, 369214, 370262]
[887, 7, 127001, 125903]
[888, 48, 238439, 238932]
[889, 6, 110308, 111730]
[890, 13, 666193, 664720]
[891, 10, 44046, 45247]
[892, 46, 326572, 327553]
[893, 18, 708624, 709302]
[894, 25, 507431, 507089]
[895, 6, 358544, 359226]
[896, 55, 387626, 387108]
[897, 29, 617302, 616537]
[898, 27, 632198, 631633]
[899, 37, 1742, 810]
[900, 5, 154445, 152948]
[901, 51, 280831, 279680]
[902, 39, 140073, 139833]
[903, 1, 450379, 449492]
[904, 13, 591400, 591204]
[905, 43, 669457, 668218]
[906, 3, 177572, 176442]
[907, 37, 129222, 127879]
[908, 22, 371756, 372385]
[909, 3, 38378, 37249]
[910, 47, 536691, 535521]
[911, 45, 703485, 702018]
[912, 17, 729944, 729294]
[913, 31, 353084, 351709]
[914, 43, 338253, 337756]
[915, 28, 402611, 402896]
[916, 49, 587707, 586228]
[917, 1, 329211, 327992]
[918, 13, 330811, 330137]
[919, 51, 600669, 600305]
[920, 37, 172153, 171516]
[921, 42, 601440, 602614]
[922, 55, 76794, 76128]
[923, 41, 676827, 676664]
[924, 4, 279682, 280980]
[925, 2, 289571, 290429]
